seed,kernel,iteration,best_obj_val,function
1,gcauchy,1,-0.3569360399694293,DNA
1,gcauchy,2,-0.3449153057555469,DNA
1,gcauchy,3,-0.3449153057555469,DNA
1,gcauchy,4,-0.3449153057555469,DNA
1,gcauchy,5,-0.3449153057555469,DNA
1,gcauchy,6,-0.3449153057555469,DNA
1,gcauchy,7,-0.3449153057555469,DNA
1,gcauchy,8,-0.3449153057555469,DNA
1,gcauchy,9,-0.3449153057555469,DNA
1,gcauchy,10,-0.3449153057555469,DNA
1,gcauchy,11,-0.3449153057555469,DNA
1,gcauchy,12,-0.3417503383023704,DNA
1,gcauchy,13,-0.3417503383023704,DNA
1,gcauchy,14,-0.3417503383023704,DNA
1,gcauchy,15,-0.3417503383023704,DNA
1,gcauchy,16,-0.3417503383023704,DNA
1,gcauchy,17,-0.3417503383023704,DNA
1,gcauchy,18,-0.3417503383023704,DNA
1,gcauchy,19,-0.3417503383023704,DNA
1,gcauchy,20,-0.3417503383023704,DNA
1,gcauchy,21,-0.3417503383023704,DNA
1,gcauchy,22,-0.3417503383023704,DNA
1,gcauchy,23,-0.3417503383023704,DNA
1,gcauchy,24,-0.3417503383023704,DNA
1,gcauchy,25,-0.3417503383023704,DNA
1,gcauchy,26,-0.3417503383023704,DNA
1,gcauchy,27,-0.3417503383023704,DNA
1,gcauchy,28,-0.3417503383023704,DNA
1,gcauchy,29,-0.3417503383023704,DNA
1,gcauchy,30,-0.3417503383023704,DNA
1,gcauchy,31,-0.3417503383023704,DNA
1,gcauchy,32,-0.3417503383023704,DNA
1,gcauchy,33,-0.3417503383023704,DNA
1,gcauchy,34,-0.3417503383023704,DNA
1,gcauchy,35,-0.3417503383023704,DNA
1,gcauchy,36,-0.3417503383023704,DNA
1,gcauchy,37,-0.3417503383023704,DNA
1,gcauchy,38,-0.3417503383023704,DNA
1,gcauchy,39,-0.3417503383023704,DNA
1,gcauchy,40,-0.3417503383023704,DNA
1,gcauchy,41,-0.3417503383023704,DNA
1,gcauchy,42,-0.3417503383023704,DNA
1,gcauchy,43,-0.3417503383023704,DNA
1,gcauchy,44,-0.3417503383023704,DNA
1,gcauchy,45,-0.3417503383023704,DNA
1,gcauchy,46,-0.3417503383023704,DNA
1,gcauchy,47,-0.3417503383023704,DNA
1,gcauchy,48,-0.3417503383023704,DNA
1,gcauchy,49,-0.3417503383023704,DNA
1,gcauchy,50,-0.3417503383023704,DNA
1,gcauchy,51,-0.3417503383023704,DNA
1,gcauchy,52,-0.3417503383023704,DNA
1,gcauchy,53,-0.3417503383023704,DNA
1,gcauchy,54,-0.3417503383023704,DNA
1,gcauchy,55,-0.3417503383023704,DNA
1,gcauchy,56,-0.3417503383023704,DNA
1,gcauchy,57,-0.3417503383023704,DNA
1,gcauchy,58,-0.3417503383023704,DNA
1,gcauchy,59,-0.3417503383023704,DNA
1,gcauchy,60,-0.3417503383023704,DNA
1,gcauchy,61,-0.3417503383023704,DNA
1,gcauchy,62,-0.3281766604828595,DNA
1,gcauchy,63,-0.3281766604828595,DNA
1,gcauchy,64,-0.3281766604828595,DNA
1,gcauchy,65,-0.3281766604828595,DNA
1,gcauchy,66,-0.3281766604828595,DNA
1,gcauchy,67,-0.3281766604828595,DNA
1,gcauchy,68,-0.3281766604828595,DNA
1,gcauchy,69,-0.3281766604828595,DNA
1,gcauchy,70,-0.3281766604828595,DNA
1,gcauchy,71,-0.3281766604828595,DNA
