seed,iteration,best_obj_val,kernel
0,1,-19.819097761675955,SBO-M52 ARD
0,2,-14.707323768155971,SBO-M52 ARD
0,3,-32.44131159721421,SBO-M52 ARD
0,4,-17.392637857389836,SBO-M52 ARD
0,5,-5.177798988084621,SBO-M52 ARD
0,6,-27.91111828749186,SBO-M52 ARD
0,7,-13.298976840082936,SBO-M52 ARD
0,8,-11.054017509335388,SBO-M52 ARD
0,9,-8.285179161318714,SBO-M52 ARD
0,10,-16.393365864194926,SBO-M52 ARD
0,11,-19.82774738426849,SBO-M52 ARD
0,12,-9.432760518548868,SBO-M52 ARD
0,13,-7.870284704828007,SBO-M52 ARD
0,14,-7.707625097129419,SBO-M52 ARD
0,15,-15.53136246479128,SBO-M52 ARD
0,16,-5.972510197896401,SBO-M52 ARD
0,17,-18.45001056615314,SBO-M52 ARD
0,18,-10.151007283362638,SBO-M52 ARD
0,19,-13.673589723861635,SBO-M52 ARD
0,20,-13.067488715923435,SBO-M52 ARD
0,21,-11.218527450300176,SBO-M52 ARD
0,22,-8.515548135014587,SBO-M52 ARD
0,23,-13.12713501404405,SBO-M52 ARD
0,24,-9.565153681207878,SBO-M52 ARD
0,25,-13.758771726858352,SBO-M52 ARD
0,26,-8.435577435978518,SBO-M52 ARD
0,27,-7.358272705866836,SBO-M52 ARD
0,28,-13.706119700605118,SBO-M52 ARD
0,29,-10.753685175820983,SBO-M52 ARD
0,30,-9.434139605424566,SBO-M52 ARD
0,31,-19.46852455731391,SBO-M52 ARD
0,32,-7.015418585572608,SBO-M52 ARD
0,33,-11.10561983942324,SBO-M52 ARD
0,34,-6.741794394378777,SBO-M52 ARD
0,35,-11.206224236160605,SBO-M52 ARD
0,36,-10.538669262243465,SBO-M52 ARD
0,37,-16.242786096070482,SBO-M52 ARD
0,38,-9.692833688778483,SBO-M52 ARD
0,39,-8.089501016089304,SBO-M52 ARD
0,40,-7.48793793626643,SBO-M52 ARD
0,41,-4.452408441358864,SBO-M52 ARD
0,42,-9.261992552705884,SBO-M52 ARD
0,43,-8.345982143034966,SBO-M52 ARD
0,44,-6.823196155092077,SBO-M52 ARD
0,45,-16.103153290180416,SBO-M52 ARD
0,46,-10.69659473805243,SBO-M52 ARD
0,47,-14.075877881265338,SBO-M52 ARD
0,48,-8.164300536497924,SBO-M52 ARD
0,49,-8.58021208861781,SBO-M52 ARD
0,50,-8.800644819233442,SBO-M52 ARD
0,51,-8.562988739974358,SBO-M52 ARD
0,52,-12.15055347056797,SBO-M52 ARD
0,53,-19.38710474486735,SBO-M52 ARD
0,54,-13.97916842709078,SBO-M52 ARD
0,55,-10.39874173863727,SBO-M52 ARD
0,56,-11.259758974190872,SBO-M52 ARD
0,57,-4.9786633676018095,SBO-M52 ARD
